[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, Displex AC Transport Measurement Program, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Time(s),Temp(K),R1(Ohm),R2(Ohm),R3(Ohm),R4(Ohm)
3867290820.73,0,300.001600,0.923180000,,,
3867290833.96,13.23,300.001700,,0.550700000,,
3867290847.17,26.44,299.999700,,,0.061633000,
3867290860.40,39.67,299.999900,,,,0.084472000
3867290873.62,52.89,300.001600,0.922550000,,,
3867290886.91,66.18,299.998800,,0.550691000,,
3867290900.13,79.40,300.001000,,,0.061212000,
3867290913.42,92.69,300.000450,,,,0.082923000
3867310783.57,0,3.000228,1.999770000,,,
3867310796.79,13.22,3.000819,,1.449040000,,
3867310810.00,26.43,3.000951,,,0.000000000,
3867310823.20,39.63,2.994235,,,,0.016739900
3867310842.40,58.83,3.016635,1.998850000,,,
3867310855.62,72.05,3.101739,,1.446570000,,
3867310868.83,85.26,3.195227,,,0.011363000,
3867310882.03,98.46,3.288373,,,,0.016742900
3867310895.29,111.72,3.379631,1.990830000,,,
3867310908.54,124.97,3.475429,,1.440930000,,
3867310921.75,138.18,3.565924,,,0.011331800,
3867310934.96,151.39,3.661210,,,,0.016784300
3867310948.21,164.64,3.753185,1.985980000,,,
3867310961.47,177.90,3.843723,,1.435720000,,
3867310974.67,191.10,3.941382,,,0.011609700,
3867310987.88,204.31,4.029828,,,,0.016788900
3867311001.13,217.56,4.124699,1.986420000,,,
3867311014.39,230.82,4.217526,,1.431080000,,
3867311027.60,244.03,4.310123,,,0.011755000,
3867311040.80,257.23,4.404092,,,,0.016781300
3867311054.05,270.48,4.496519,1.982580000,,,
3867311067.32,283.75,4.589225,,1.426440000,,
3867311080.52,296.95,4.681844,,,0.011420000,
3867311093.73,310.16,4.774475,,,,0.016797300
3867311107.13,323.56,4.868958,1.978360000,,,
3867311120.34,336.77,4.961553,,1.422810000,,
3867311133.54,349.97,4.998990,,,0.011392900,
3867311146.75,363.18,4.999960,,,,0.016794700
3867311170.43,386.86,5.000108,1.976790000,,,
3867311183.67,400.10,4.999827,,1.422800000,,
3867311196.88,413.31,4.999996,,,0.011417900,
3867311210.08,426.51,5.000165,,,,0.016809100
3867311229.12,445.55,5.133084,1.971520000,,,
3867311242.39,458.82,5.641710,,1.414300000,,
3867311255.60,472.03,5.847853,,,0.011423000,
3867311268.81,485.24,5.956768,,,,0.016839700
3867311282.05,498.48,6.038019,1.969620000,,,
3867311295.32,511.75,6.110404,,1.411190000,,
3867311308.52,524.95,6.196898,,,0.011535800,
3867311321.73,538.16,6.300059,,,,0.016831500
3867311335.13,551.56,6.375526,1.965480000,,,
3867311348.34,564.77,6.440615,,1.408450000,,
3867311361.55,577.98,6.538590,,,0.011779400,
3867311374.75,591.18,6.633974,,,,0.016842200
3867311388.01,604.44,6.693964,1.964810000,,,
3867311401.27,617.70,6.790455,,1.405920000,,
3867311414.47,630.90,6.879483,,,0.011828200,
3867311427.68,644.11,6.940448,,,,0.016830700
3867311441.02,657.45,7.031429,1.960670000,,,
3867311454.29,670.72,7.127036,,1.403650000,,
3867311467.50,683.93,7.189497,,,0.011799900,
3867311480.70,697.13,7.278780,,,,0.016857800
3867311493.96,710.39,7.371451,1.957620000,,,
3867311507.21,723.64,7.428399,,1.401450000,,
3867311520.42,736.85,7.534709,,,0.011802900,
3867311533.63,750.06,7.609967,,,,0.016864800
3867311547.04,763.47,7.679126,1.955540000,,,
3867311560.24,776.67,7.781643,,1.399620000,,
3867311573.45,789.88,7.843670,,,0.011667500,
3867311586.65,803.08,7.934703,,,,0.016903600
3867311599.90,816.33,8.017793,1.956040000,,,
3867311613.16,829.59,8.087779,,1.397740000,,
3867311626.37,842.80,8.188356,,,0.011886400,
3867311639.58,856.01,8.247101,,,,0.016921100
3867311652.93,869.36,8.352931,1.957800000,,,
3867311666.19,882.62,8.415571,,1.395860000,,
3867311679.39,895.82,8.519112,,,0.011359100,
3867311692.60,909.03,8.586832,,,,0.016930600
3867311705.85,922.28,8.683636,1.954950000,,,
3867311719.11,935.54,8.751483,,1.394000000,,
3867311732.32,948.75,8.854389,,,0.011370000,
3867311745.52,961.95,8.914128,,,,0.016914900
3867311758.92,975.35,9.020979,1.955260000,,,
3867311772.14,988.57,9.082938,,1.392500000,,
3867311785.34,1001.77,9.187377,,,0.011499200,
3867311798.55,1014.98,9.256825,,,,0.016905000
3867311811.79,1028.22,9.348955,1.954030000,,,
3867311825.06,1041.49,9.439089,,1.391140000,,
3867311838.27,1054.70,9.503992,,,0.011377600,
3867311851.47,1067.90,9.611427,,,,0.016925100
3867311864.93,1081.36,9.695746,1.952950000,,,
3867311878.19,1094.62,9.768867,,1.389840000,,
3867311891.39,1107.82,9.870121,,,0.011334300,
3867311904.60,1121.03,9.957710,,,,0.016939600
3867311917.84,1134.27,10.021770,1.951160000,,,
3867311931.11,1147.54,10.112870,,1.388670000,,
3867311944.31,1160.74,10.208090,,,0.011349100,
3867311957.52,1173.95,10.284010,,,,0.016963700
3867311970.93,1187.36,10.368635,1.951610000,,,
3867311984.13,1200.56,10.462625,,1.387550000,,
3867311997.34,1213.77,10.558045,,,0.011473600,
3867312010.54,1226.97,10.645900,,,,0.016992400
3867312023.79,1240.22,10.725420,1.950810000,,,
3867312037.06,1253.49,10.801855,,1.386560000,,
3867312050.26,1266.69,10.887395,,,0.011693900,
3867312063.47,1279.90,10.977530,,,,0.017012300
3867312076.94,1293.37,11.080820,1.950210000,,,
3867312090.18,1306.61,11.169175,,1.385640000,,
3867312103.39,1319.82,11.258515,,,0.011761800,
3867312116.59,1333.02,11.348510,,,,0.017031500
3867312129.84,1346.27,11.438335,1.947060000,,,
3867312143.10,1359.53,11.525945,,1.384790000,,
3867312156.31,1372.74,11.613105,,,0.011821300,
3867312169.52,1385.95,11.699030,,,,0.017032700
3867312182.94,1399.37,11.790055,1.948990000,,,
3867312196.13,1412.56,11.868780,,1.384080000,,
3867312209.34,1425.77,11.951925,,,0.011286100,
3867312222.54,1438.97,12.042205,,,,0.017036200
3867312235.79,1452.22,12.139760,1.948450000,,,
3867312249.05,1465.48,12.239190,,1.383580000,,
3867312262.26,1478.69,12.327755,,,0.011152200,
3867312275.46,1491.89,12.405115,,,,0.017075200
3867312288.94,1505.37,12.490660,1.948340000,,,
3867312302.18,1518.61,12.591820,,1.383110000,,
3867312315.38,1531.81,12.690705,,,0.011113200,
3867312328.59,1545.02,12.765800,,,,0.017089600
3867312341.89,1558.32,12.855260,1.945710000,,,
3867312355.10,1571.53,12.962115,,1.382650000,,
3867312368.30,1584.73,13.033845,,,0.011363600,
3867312381.51,1597.94,13.133285,,,,0.017115800
3867312394.95,1611.38,13.234635,1.945240000,,,
3867312408.22,1624.65,13.303825,,1.382310000,,
3867312421.43,1637.86,13.416725,,,0.011348600,
3867312434.64,1651.07,13.488355,,,,0.017144000
3867312447.89,1664.32,13.599500,1.944240000,,,
3867312461.15,1677.58,13.666850,,1.382090000,,
3867312474.35,1690.78,13.775940,,,0.011360900,
3867312487.56,1703.99,13.849590,,,,0.017200900
3867312500.92,1717.35,13.958500,1.944170000,,,
3867312514.17,1730.60,14.049580,,1.381840000,,
3867312527.38,1743.81,14.125695,,,0.011377400,
3867312540.58,1757.01,14.239325,,,,0.017190600
3867312553.84,1770.27,14.317445,1.945250000,,,
3867312567.10,1783.53,14.402335,,1.381710000,,
3867312580.30,1796.73,14.513805,,,0.011754000,
3867312593.51,1809.94,14.600465,,,,0.017226400
3867312606.94,1823.37,14.680800,1.948220000,,,
3867312620.12,1836.55,14.781310,,1.381660000,,
3867312633.33,1849.76,14.885035,,,0.011829700,
3867312646.53,1862.96,14.972645,,,,0.017250400
3867312659.78,1876.21,15.056115,1.945750000,,,
3867312673.04,1889.47,15.148125,,1.381710000,,
3867312686.25,1902.68,15.243545,,,0.011869200,
3867312699.46,1915.89,15.339760,,,,0.017271500
3867312712.97,1929.40,15.439160,1.946100000,,,
3867312726.17,1942.60,15.529890,,1.381820000,,
3867312739.37,1955.80,15.622365,,,0.011893300,
3867312752.58,1969.01,15.715085,,,,0.017308400
3867312765.83,1982.26,15.807960,1.946830000,,,
3867312779.09,1995.52,15.900225,,1.382020000,,
3867312792.30,2008.73,15.992995,,,0.012277800,
3867312805.50,2021.93,16.085810,,,,0.017341300
3867312818.92,2035.35,16.181365,1.948350000,,,
3867312832.12,2048.55,16.272425,,1.382320000,,
3867312845.32,2061.75,16.364835,,,0.012133100,
3867312858.53,2074.96,16.457780,,,,0.017372800
3867312871.78,2088.21,16.550955,1.948650000,,,
3867312885.04,2101.47,16.644230,,1.382590000,,
3867312898.25,2114.68,16.736590,,,0.012083300,
3867312911.45,2127.88,16.829230,,,,0.017414000
3867312924.92,2141.35,16.926150,1.949150000,,,
3867312938.16,2154.59,17.017530,,1.382970000,,
3867312951.37,2167.80,17.109755,,,0.012118200,
3867312964.58,2181.01,17.202820,,,,0.017431700
3867312977.83,2194.26,17.296400,1.950010000,,,
3867312991.09,2207.52,17.389320,,1.383440000,,
